quote;author
L'échec est simplement l'opportunité de recommencer, cette fois plus intelligemment.;Henry Ford
Tout progrès prend place en dehors de la zone de confort.;Michael John Bobak
Ne rêve pas ta vie, mais vis tes rêves.;Marc Twain
Le succès, c’est tomber sept fois et se relever huit.;Proverbe japonais
La persévérance, c'est ce qui rend l'impossible possible.;F. D. Roosevelt
La meilleure façon de prédire l'avenir est de l'inventer.;Alan Kay
La chance favorise l’esprit préparé.;Louis Pasteur
L’action est la clé fondamentale de tout succès.;Pablo Picasso
Ose croire en tes rêves et ils se réaliseront.;Eleanor Roosevelt
Le succès est la somme de petits efforts répétés jour après jour.;Robert Collier
Pour réussir, ton désir de réussite doit être plus grand que ta peur de l'échec.;Bill Cosby
L'innovation distingue le leader du suiveur.;Steve Jobs
Rêve grand, travaille dur.;Kevin Durant
La seule limite à notre épanouissement de demain sera nos doutes d'aujourd'hui.;Franklin D. Roosevelt
Il n'est jamais trop tard pour devenir ce que nous aurions pu être.;George Eliot
Votre avenir est créé par ce que vous faites aujourd'hui, pas demain.;Robert Kiyosaki
Les idées sont faciles, l'exécution est tout.;John Doerr
L'audace a du génie, du pouvoir, de la magie.;Johann Wolfgang von Goethe
La seule façon de faire du bon travail est d'aimer ce que vous faites.;Steve Jobs
Les défis sont ce qui rend la vie intéressante et les surmonter est ce qui lui donne un sens.;Joshua J. Marine
L'éducation est l'arme la plus puissante qu'on puisse utiliser pour changer le monde.;Nelson Mandela
Le succès n'est pas final, l'échec n'est pas fatal : c'est le courage de continuer qui compte.;Winston Churchill
La motivation nous fait commencer, l'habitude nous fait continuer.;Jim Ryun
Le succès vient de la curiosité, de la concentration, de la persévérance et de l'autocritique.;Albert Einstein
Se fixer des buts est le premier pas pour transformer l'invisible en visible.;Tony Robbins
Croire en quelque chose et ne pas le vivre, c'est malhonnête.;Mahatma Gandhi
Le digital transforme les rêves en réalité.;Marc Prensky
L'innovation nécessite de faire des erreurs.;Jeff Bezos
Pour être irremplaçable, il faut être différent.;Coco Chanel
Le courage c'est de chercher la vérité et de la dire.;Jean Jaurès
Soyez le changement que vous voulez voir dans le monde.;Mahatma Gandhi
Si l’opportunité ne frappe pas, construisez une porte.;Milton Berle
La réussite semble être connectée à l'action.;Conrad Hilton
Ne laissez pas le bruit des opinions d'autrui étouffer votre voix intérieure.;Steve Jobs
La qualité est le meilleur plan d'affaires.;John Lasseter
Si vous pouvez le rêver, vous pouvez le faire.;Walt Disney
L'échec est le fondement de la réussité.;Lao Tseu
Agissez comme s'il était impossible d'échouer.;Winston Churchill
Pensez, croyez, rêvez et osez.;Walt Disney
Le succès est le fruit de l'échec, du travail acharné et de l'apprentissage de l'échec.;Richard Branson
La persévérance est un talisman pour la vie.;Proverbe africain
Le secret pour avancer est de commencer.;Mark Twain
Le succès est la somme de petits efforts, répétés jour après jour.;Leo Robert Collier
L'innovation, c'est une situation qu'on choisit parce qu'on a une passion brûlante pour quelque chose.;Steve Jobs
L'obstacle est le chemin.;Ryan Holiday
La clé du succès est de se concentrer sur les objectifs, pas sur les obstacles.;Inconnu
L'important n'est pas de ne jamais tomber, mais de se relever à chaque fois.;Confucius
Le futur appartient à ceux qui croient en la beauté de leurs rêves.;Eleanor Roosevelt
La simplicité est la sophistication suprême.;Léonard de Vinci
N'attends pas. Le temps ne le fera pas pour toi.;Chinese Proverb
La vraie générosité envers l'avenir consiste à tout donner au présent.;Albert Camus
Rien de grand n’a jamais été accompli sans enthousiasme.;Ralph Waldo Emerson
La vie est ce que nous en faisons. Toujours a été, toujours sera.;Grandma Moses
Le succès n'est pas toujours à propos de grandeur. Il s'agit de cohérence.;Dwayne Johnson
La seule limite à notre réalisation de demain sera nos doutes d'aujourd'hui.;Franklin D. Roosevelt
L'unique façon de faire du bon travail est d'aimer ce que vous faites.;Steve Jobs
Où il y a une volonté, il y a un chemin.;Proverbe anglais
L'éducation est le passeport vers l'avenir, le lendemain appartient à ceux qui se préparent pour lui aujourd'hui.;Malcolm X
La patience, la persistance et la transpiration font une combinaison imbattable pour le succès.;Napoleon Hill
Reste affamé, reste fou.;Steve Jobs
Le succès n'est pas le fruit du hasard, il est le fruit du travail.;Aïkido Master
Ce qui ne me tue pas me rend plus fort.;Friedrich Nietzsche
Le digital est l'encre de l'innovation entrepreneuriale.;Inconnu
Ne te demande pas ce dont le monde a besoin. Demande-toi ce qui te rend vivant, et va faire ça. Parce que ce dont le monde a besoin, c'est de gens qui sont vivants.;Howard Thurman
La seule chose qui se dresse entre vous et votre rêve, c'est la volonté d'essayer et la croyance qu'il est réellement possible.;Joel Brown
Quelle que soit la lenteur à laquelle vous allez tant que vous ne vous arrêtez pas.;Confucius
Ne craignez pas d'avancer lentement, craignez seulement de rester immobile.;Proverbe chinois
Le succès c'est d'aller d'échec en échec sans perdre son enthousiasme.;Winston Churchill
Le digital est le nouveau terrain de jeu de l'intelligence.;Inconnu
Votre temps est limité, ne le gâchez pas en vivant la vie de quelqu'un d'autre.;Steve Jobs
Il n'y a pas de substitut au travail acharné.;Thomas Edison
Chaque jour est une nouvelle opportunité de changer votre vie.;Inconnu
L'avenir appartient à ceux qui apprennent plus de compétences et les combinent de manière créative.;Robert Greene
La différence entre un entrepreneur et un rêveur est l'action.;Peter Drucker
Ce n’est pas parce que les choses sont difficiles que nous n’osons pas, c’est parce que nous n’osons pas qu’elles sont difficiles.;Sénèque